text,label
服务 阳光 主动 收拾 空 盘子 加汤 菜品 新鲜 干净 卫生 无骨鱼 很 美味 入口 柔 下次 还会 再 季季红 火锅 味道 yyds,正面
薄荷 环境 季季红 装修 感觉 都 很 特色 这次 去 一家 全是 绿色 主题 店 过去 非常 心情舒畅 感觉 回到 大自然 服务 铃 服务 季季红 服务 没得说的 服务 人员 特别 热情 服务 很 周到 口味 特别 好 江西 品牌 觉得 很 出名,正面
卫生 越来越 差 桌子 凳子 都 油 就算 擦 完后 还 一股 臭味 店里 不是 特别 忙 筷子 直接 放 桌子 上 不拿个 盘子 垫,负面
服务 很 好 味道 很棒 食材 新鲜 哈哈哈 nice,正面
调料 充足 很 下饭 火锅 配 牛蛙 香喷喷 大老远 香 飘 四溢 上菜 速度 很快 服务 加汤 很 迅捷 主动 还会 主动 递 围裙 很 细节,正面
地理位置 很 方便 步步高 去 玩 都 挺 近 还 去 中联 逛逛 朋友 起来 吃 季季红 价格 很 便宜 味道 挺 好 卫生 方面 价格 很 平价 美味 服务态度 挺 好 美味 下次 还会来 吃 很 平价 价格 都 不贵 已经 很 不错,正面
服务 铃 服务 服务员 很 热情 味道 不错 菜品 新鲜,正面
季季红 油炸 小馒头 好香 好 美味 很 推荐,正面
服务 越来越 好 服务 人员 不远 不近 位置 照顾 很棒 最近 吃 两次 口味 确实 美味 价格 非常 公道 肯定 还会 再 找 机会 第三次,正面
服务 主动 热情奔放 很 感染力 牛蛙 下锅 嘎嘎 美味 爱 爱 ❤ ️,正面
美味 实惠 服务态度 很 好 朋友 吃 很 开心,正面
服务 很 热情 门口 有人 接待 菜品 很 新鲜 环境 很 好 便宜 实惠 下次 还会 再 「 秒 毛肚 片 口味 环境 服务 性价比 性价比 服务 服务 环境 环境 口味,正面
蔬菜 很 新鲜 份量 很大 服务 很 周到 味道 很 好 很 喜欢,正面
菜品 分量 很足 火锅 味道 很 美味 服务态度 很 好 不错 多次 很 美味 想 吃 都 经济 实惠,正面
美味 美味 美味 服务 好 菜品 好,正面
好 美味 太 美味 非常 美味 红糖 糍粑 不是 很腻 很 奈斯 还会 再 吃,正面
调料 种类 很多 服务态度 很 周到 上菜 很 迅速 非常 推荐,正面
超级 美味 都 吃 年 服务态度 好好 菜 非常 新鲜,正面
季季红 火锅 很 美味 环境 很 好 服务 超赞,正面
味道 好 服务到位 菜品 经济 实惠,正面
第二次 这家 火锅店 吃火锅 店 里面 菜品 种类 好多 锅底 很香 服务 小姐姐 很 礼貌 态度 非常 好 加汤 特别 迅速,正面
服务态度 好 食物 鲜美 价格 合适 环境 好,正面
非常 美味 非常 香香 香香 态度 非常 好 非常 喜欢 推荐 推荐,正面
嘎嘎 美味 尝试 呦 火锅 底料 牛油 比较 推荐 鸡爪,正面
服务态度 很 好 环境 很 不错 每次 独来 吃 很 方便,正面
很 多次 离家 很 近 最 喜欢 吃 一家 火锅 喜欢 吃 肥牛 菜品 比较 新鲜 推荐,正面
第一次 体验 还 不错 菜品 很 新鲜 口味 很 好 价格 实惠 值得 推荐 服务 很 周到,正面
真的 超级 美味 价格便宜 实惠 尤其 小姐姐 服务态度 超级 好 有求必应 十分 礼貌 刚 反映 完 冰激凌 没有 下 一秒 冰激凌 出现 眼前 已经 爱上 乐盈 这家 季季红 上次 朋友 过生日 没有 想到 季季红 生日 祝福 服务 之前 以为 海某 捞 太 开心 花 三分之一 价钱 享 尊贵 人生,正面
服务态度 蛮 好 随叫随到 冰淇淋 没 及时 加 调料 及时 补 上 喜欢 吃 季季红 多来 这家 店 吃 肯定 吃 开心,正面
服务 很 周到 加汤 速度 很快 环境 干净 虾 滑 很 美味,正面
超爱 店里 红糖 糍粑 店里 免费 冰淇凌 吃 绿茶 口味 超 美味 店里 菜品 挺 新鲜 毛肚 冰块 都还没 化 服务员 小姐姐 超 热情 帮忙 围裙 加汤 很 及时,正面
服务 非常 好 服务员 及时 加汤 及时 提供 围裙 卫生 很 干净 菜品 新鲜 冰淇凌 很 美味,正面
吃 很 多次 口味 非常 好 服务 很 好 下次 还会 再,正面
便宜 美味 江西人 火锅 推荐,正面
属于 江西人 季季红 吃 很 多次 服务 特别 好 员工 很 贴心 菜品 很 多样 新鲜 价格 优惠,正面
很 美味 服务 不错 喜欢 下次 继续 吃 免费 冰淇淋,正面
味道 不错 挺好吃 喜欢 吃 牛油 锅底 麻麻 辣辣的 很 有味,正面
服务态度 很 好 很 积极 时不时 会 问 需不需要 加汤 围裙 感觉 照顾 挺不错 吃 很 舒服,正面
师大 店 打卡 装修 风格 很 特别 温馨 环境 不错 工作人员 很 热情 菜品 很 新鲜 上菜 速度 快 推荐,正面
调皮 环境 挺不错 服务 很 热情 上菜 很快 推荐 调皮,正面
食物 外形 美观 重要 味道 非常 棒 色味 俱佳 做法 保留 道 食材 原有 味道 清新 爽口 菜品 选择 非常 价格 不 高 适合 带 家人 一起 去 店里 东西 非常 美味可口 造型 非常 好看 香味 非常 独特 吃 非常 美味 食物 以后 还会 再 地方 真心 很 不错 色泽 比较 好 价格 优惠价格 实惠 服务周到 好评 味道 超赞 一看 就让 人 觉得很有 食欲 分量 不 大 属于 比较 精致 类型 胜 页 菜品 很 新鲜 味道 咸淡适中 火候 掌握 刚好 上菜 速度 很快 看 众人 一水 疯狂 好评 不禁 人 好奇 店 掏空 大家 积蓄 亲自 去 尝 名不虚传 美味 食材 往往 只 需要 最 朴素 烹饪 方式 最 平常 餐盘 盛放 这家 店 食物 太 美味 这家 店 有毒 一周 吃 三次 还 想 去 太 美味,正面
免费 冰激凌 耶 超 美味 薄荷 环境 很 干净 人 感觉 很 舒服 服务 铃 服务 态度 好,正面
菜品 很 新鲜 份量 很 足 服务态度 很 好,正面
服务态度 好 店内 环境 好 菜品 好 很 新鲜 锅底 美味 嫩 牛肉 片 美味,正面
刚好 周末 休息 菜品 种类 味道 不错 终爱 季季红 牛蛙 肉质 好嫩,正面
今天 周末 家人 吃火锅 牛肉 虾 滑 很 美味 点个 美味,正面
吃火锅 吃 挺 某捞 吃 多点 之前 种草 季季红 说 性价比 很 高 下班 过来 吃 菜品 价格 都 不贵 火锅店 想 比较 味道 还 三个 人 吃 很饱 好像 价格 两个 人 吃 某捞 差不多 下次 朋友 再来 吃 一次 看 说 服务 铃 服务 体验 多次 某捞 服务 之后 觉得 服务 价格 成正比 薄荷 环境 还,正面
今天 老弟 生日 吃火锅 味道 不错 值得 推荐,正面
很 喜欢 吃 季季红 火锅 老 顾客 价格便宜 还 很 美味,正面
环境 很 温馨 上菜 很快 推荐,正面
菜品 新鲜 环境 干净 整理 服务满意,正面
服务态度 好 店里 环境 装修 都 很 不错 体验 感 不错,正面
非常 美味 服务 很 好 推荐 大家 过来 吃,正面
菜品 新鲜 美味 环境 不错,正面
味道 还 不错 菜品 种类 素菜 比较 便宜 性价比 性价比 高 服务 服务 环境 环境 口味 口味 个人感觉 锅底 不是 很 美味 兑 调料,正面
口味 家 火锅 汤底 十分 鲜美 配料 新鲜 种类 繁多 满足 味蕾 需求 服务 服务员 热情周到 及时 补菜 倒 汤 感受 宾至如归 体验 环境 干净 整洁 装修 温馨 舒适 吃火锅 氛围 很 好 地理位置 位于 玉山 天街 交通 便利 停车 方便,正面
菜品 新鲜 美味 环境 好 小姐姐 服务态度 很 好 物美价廉,正面
两层 不用 很 久 食材 比较 新鲜,正面
不是 说 一定 某捞 对比 真的 全程 看不到 服务员 问 一句 头 都 不 抬 那种 消费 不是 找罪 全程 自助餐 上菜 看不到 服务员 还 座位 收银台 上错 菜 上错 菜 就算 直接 点 油炸 都 没有 上 回到 家才 想 起来 忘记 单子 服气 外地 朋友 第一次 南昌 做东 请 大家 吃 江西 特色 火锅 真的 容易 失去 …,负面
服务态度 良好 氛围 灯 渲染 很棒 食材 准备 很 好 朋友 起来 吃 完 心情 很多 ✨ ✨,正面
很 美味 肥牛 卷 真的 很 不错 推荐 大家 吃,正面
美味 肥牛 卷 很 美味 推荐 大家 吃,正面
同学 一起 吃火锅 环境 服务 好 美味,正面
菜品 很 新鲜 美味,正面
季季红 火锅 小姐姐 人美 心善 上菜 及时 快 鱼片 超 美味 新品 牛肉 片绝 绝子,正面
食品 新鲜 安全 特别 美味 朋友 吃 很 开心 每个 人 都 吃 美味 很 开心 服务态度 不错 上菜 速度 不 慢 价格 实惠 下次 还 回来,正面
非常 美味 服务员 态度 很 好 菜 很 新鲜,正面
服务 很 热情 门口 有人 接待 上菜 很快 实惠 便宜 美味 下次 还会 再,正面
食材 很 新鲜 上菜 很快 味道 不错,正面
环境 很 好 服务态度 很 好 调料 台 干净,正面
味道 挺 好 服务员 态度 很 好 上菜 很快 服务周到 菜品 干净,正面
非常 好 一如既往 美味 实惠 服务 很 好 免费 冰淇淋 很棒,正面
超级 喜欢 季季红 每次 放假 都 喜欢 带 小朋友 吃,正面
菜品 新鲜 经济 实惠 每个 月 都 几次 服务周到 今天天气 不错 吃火锅 恰到好处,正面
每次 放假 都 会 吃 火锅 口味 这家 店 火锅 锅底 很 正宗 番茄 美味 菜品 新鲜 食材 品种 请 齐全 环境 店内 装修 很 特色 灯光 温馨,正面
环境 很 好 上菜 速度 快 味道 还 美味 下次 还来 免费 冰激凌,正面
服务 很 热情 门口 有人 接待 菜品 很 新鲜 环境 很 好 便宜 实惠,正面
吃火锅 季季红 上菜 快 菜 新鲜 服务 不错 环境 好 免费 冰淇淋,正面
味道 很 不错 贡菜 脆脆 很 美味 肉卷 很多 很大 锅底 香辣 卫生 环境 很 不错 非常 美味 免费 冰激凌,正面
季季红 火锅 品尝 火锅店 中 最 引人入胜 一家 火锅 底料 浓香 四溢 汤汁 鲜美 醇厚 一口 都 满满的 幸福感 无论是 肉类 海鲜 蔬菜 都 新鲜 可口 保持 原汁原味 店内 环境 温馨 舒适 布置 典雅 人 仿佛 置身于 一处 静谧 雅座 服务态度 更是 周到 细致 人 倍感 温暖 关怀 季季红 火锅 一顿 美食 盛宴 更是 一次 心灵 享受 值得 推荐 所有 热爱 美食 朋友,正面
会 变得 不幸 两个 人 吃 两个 人病 所有 东西 都 不 新鲜 完全 冷冻 肉 服务态度 差 不 说 真的 两个 人 吃 完全 病,负面
薄荷 环境 二楼 当天 带 行李箱 没有 电梯 服务员 帮忙 提了 上去 走 送 下来 挺大 干净 整洁 服务 铃 服务 人员 态度 很 好 会 主动 提供 帮助 「 鲜嫩 肥牛 卷 美味 点 饮料 推荐 金桔 柠檬 比蜜雪 冰城 柠檬水 还 好喝 味道 差不太多 火锅 整体 味道 很 接近 海底 捞 价格 非常 实惠 理解 成是 半价 海底 捞 非常 推荐 姐妹 去 旅游 下午 还 高铁 回去 就餐 很快 味道 不错 菜品 都 挺 新鲜 牛羊肉 都 鹿肉 有点 硬 尝试 大家 做好 心理准备 调皮,正面
破店 服务态度 真 TM 差劲 真 TM 垃圾,负面
服务 人多 理解 催 两次 上菜 没理 … 生气 找 前台 才 知道 压根 没 菜单 去 … … … … 半天 肉菜 才 上 服务 竟然 弄 团购 券 就要 无差别 对待 去 前台 使用 优惠券 一脸 无 语 不耐烦 表情 真的 人 万达 金街 季季红 没 好感 … 差评 不想 下次 消费,负面
外地人 旅游 听说 很 久 季季红 终于 吃 环境 还 不错 上菜 快 小姐姐 服务 说话 温温 柔柔的 喜欢 一桌 七十多 还 不错 ~,正面
非常 干净 服务态度 很 好 菜品 上菜 很快,正面
薄荷 环境 五一广场 环境 蛮 不错 每次 都 避开 很多 人 服务 铃 服务 服务员 态度 蛮 好 调皮 每次 都 贴心 问 需不需要 围巾 菜品 便宜 每次 吃 都 不会 心疼 钱 每次 几个 小 姐妹 吃 都 会 aa 每次 aa 几十块 钱 朋友 都 开玩笑 说 长沙 美味 便宜 火锅 哈哈哈 哈哈哈 真的 美味 推荐 一波,正面
薄荷 环境 比较 好 服务 还 人 轻松 氛围 感,正面
没有 想到 季季红 吃火锅 最 喜欢 吃 家 冰激凌 晚 还 没有 就化 掉 隔 几天 去 炸 馒头 吃 两个 腻 这次 点 麻辣 龙骨 龙骨 很鲜 牛蛙 真是 会 跳舞 牛蛙 非常 鲜嫩 每次 必点品 经常 打卡 地方 总体 不错,正面
每次 都 会 这家 季季红 服务 很 好 很 热情 ❤ ️ ‍ 菜品 很多 价格 实惠 最 适合 学生 党 过来,正面
番茄 锅底 真的 很 喜欢 每次 都 点 毛肚 片 很 美味,正面
「 油炸 骨肉相连 「 油炸 芝麻 肉串 「 油炸 鸡米花 「 鹌鹑蛋 「 油炸 香芋 地瓜 丸 万物 都 油炸 油炸 冰淇淋 口感 有着 外表 热乎 香脆 内部 冰凉 爽口 口味,正面
服务态度 好 菜品 新鲜 份量 还 给力,正面
服务 铃 服务 店员 小姐姐 都 很 耐心 服务 很 好 环境 很 不错 食材 新鲜 分量 很大 推荐 大家 尝尝,正面
第一次 地铁 大厦 看 这家 季季红 现在 季季红 开 新店 都 很 特色 他家 装修 感觉 比较 现代 感觉 味道 老 样子 喜欢 吃 他家 涮羊肉 火锅 这是 老 南昌人 最 喜欢 一种 味道 还 他家 南瓜饼 每次 必点 他家 鸳鸯锅 再 加上 南难 瓜饼 真 美味,正面
逛 商场 下 大雨 奖励 吃个 火锅 位置 翡翠 广场 一楼 牛肉丸 真的 很 q 弹 面食 主义者 三色面 没有 抵抗力 煮 番茄 锅 里 时间 掌控 刚刚 H 很难 不爱,正面
￼ 用餐 环境 很 好 店里 位置 很 好找 味道 不错 服务 很 好,正面
环境 非常 好 服务态度 很 好 ￼ 菜品 很 新鲜,正面
懒得 骂 排队 取号 问 几位 说 五位 迎宾 没 告诉 取 小号 四人桌 排 半个 小时 才 知道 排 小桌 问 怎么回事 甩锅 说 迎宾 新来 不 知道 以前 都 吃 新建 中心 海底 捞 没 出现 五个 人 坐 四人桌 情况 其实 都 没什么 早点 搞 凳子 不 好 还 去 催 这种 问题 马上 解决 磨磨 唧唧 磨磨 唧唧 恰母 娘个 憋 恰 屋里 婆婆 发了 火,负面
本来 吃 打平 伙 排队 人太多 转头 吃 季季红 性价比 之选 服务 铃 服务 服务 很 到位 上菜 很快 薄荷 环境 店内 地方 比较 宽敞 卫生 整洁 「 毛肚 片 「 精品 肥牛 卷 「 鹌鹑蛋 「 手工 虾 滑 「 冻豆腐 菜品 都 比较 新鲜 点 半份 性价比 很 高 总体 不是 很贵 吃饱,正面
这家 季季红 开 蛮 久 前段时间 第一次 去 位置 很 好找 大润发 进口 处 店员 服务态度 蛮 不错 食材 蛮 新鲜 毕竟 还 看到 肌肉 跳动 蛙 属实 第一次 见 呐 里面 价格 蛮 实惠 饮料 价格 接受,正面
太 喜欢 吃火锅 〃 ﾉ ω ﾉ 经常 吃 这家 火锅 味道 很 不错 分量 很足 菜品 很 新鲜,正面
次数 都 比较 味道 不错 香辣 蛮 辣 三鲜 锅底 味道 不错 百香果 果汁 味道 不错 呦 下次 还来 这家,正面
经常 吃火锅 属于 老 顾客 味道 挺 不错 卫生 很 干净 免费 调料,正面
服务态度 嘎嘎 好 水蜜桃 乳酸菌 好 好喝 菜品 很多 便宜 美味,正面
服务态度 好 菜品 很 美味 牛油 锅底 香 辣 美味 红糖 糍粑 很 美味 店内 装修 嘎嘎 好 推荐 大家,正面
附近 火锅 味道 挺不错 尤其 牛油 三鲜 味道 非常 棒 非常 味,正面
服务态度 比较 好 品质 不错 菜品 挺 新鲜 下次 还 考虑,正面
菜 口味 很 好 薄荷 环境 干净 卫生 整洁 一块 没话说 服务 铃 服务 小 哥哥 小姐姐 态度 好好,正面
季季红 火锅 金鼎 广场 店 广场 南路 金鼎 广场 四楼 明厨 亮 灶 看到 工作人员 备菜 看到 袋子 里 拿出 火锅 料 非常 非常 非常 平价 便宜 量 大 味道 还 不错 锅底 不错 这家 装修 很 Tiffany 很 特别,正面
味道 很 不错 服务 很 好 还 新增 免费 冰淇凌 南昌 火锅 性价比 之王,正面
环境 环境 干净 口味 味道 好 性价比 超高 聚餐 首选 服务 店长 服务 一级 棒 随叫随到 有求必应,正面
季季红 大 品牌 值得 信赖 香辣 不 油腻 吃 更 尽兴 吃火锅 时代广场 三楼 美味,正面
江西 火锅 小吃 大 味道 越来越 好,正面
很 不错 环境 很 好 小姐姐 服务 特别 好 比较 实惠,正面
菜品 新鲜 干净 服务态度 很 好 温声 细语 会 主动 服务 吃 起来 很 喜欢,正面
「 鸳鸯锅 「 手工 牛羊肉 丸子 「 素鸡 「 八宝 「 嫩 牛肉 「 心肺 「 炸鸡 柳 「 贡菜 「 空心菜 「 毛肚 「 油炸 酥 肉 「 鸳鸯锅 「 虾 滑 「 墨鱼 仔 「 炸鸡 柳 「 墨鱼 仔 好 美味 好 美味 好 美味 好 美味 好 美味 好 美味 南昌 第一天 晚上 吃 火锅 哈哈哈 晚上 十二点 真的 很香 很 美味,正面
服务 挺 好 菜 上 很快 冰淇淋 很 美味,正面
季季红 真的 南昌 性价比 最高 滴 火锅 菜品 很 便宜 很 美味 服务 很 好 环境 很 好 嘎嘎 美味 值得 噢,正面
刚 进来 没有 人 招待 服务态度 意识 不行 再下 完单 之后 界面 提醒 前台 纸巾 好好 第一次 碰到 去 前台 没人 看 半天 才 工作人员 帮 一般来说 店里 都 会 客人 之后 倒水 家 没有 发了 杯子 没有 水 问 服务员 去 前台 倒 懵 说 没有 水壶 一句 很忙 无语 店里 人 不是 全满 空 好 几桌 说 很 忙 忙 上 水 功夫 都 没有 后来 不 去 服务员 一会 看 没 动 问 倒水 没 说 没有 说 倒 一杯 水吧 说好 原来 水壶 懒得 倒 服务 真 不行 希望 提高 四个 人 吃 性价比 很 菜 还行 油炸 主食 分量 少 锅底 很淡 辣锅 不辣 番茄 锅,负面
鸡米花 好 美味 鱿鱼 不错 值得,正面
服务态度 好 食材 新鲜 实惠 超级 推荐,正面
第一次 带 小孩 过来 吃火锅 味道 挺 好,正面
朋友 吃 味道 呦 番茄 锅底 真的 味道 别家 好 毛肚 片 分量 蛮 虾 滑 每次 朋友 必点,正面
味道 很 好 服务态度 很 好 适合 打卡,正面
素菜 分量 很足 嫩 牛肉 牛蛙 很 推荐,正面
味道 非常 好 服务态度 很 好 菜品 很 新鲜,正面
菜品 薄荷 环境 环境 不错 服务 铃 服务 服务态度 好,正面
环境卫生 很 好 价格便宜 服务员 热情周到 菜品 味道 很 好,正面
很 美味 很 鲜美 上菜 速度 很快 服务态度 很 好,正面
牛油 锅底 很香 很 美味 菜品 新鲜 味道 很 好 环境 干净 服务周到,正面
总体 来说 这家 季季 火锅 还 不错 人 印象 挺 好 刚 进门 带到 桌上 讲述 点单 方式 挺不错 他家 菜品 很 丰富 看着 都 很 新鲜 分量 很多 两个 人点 一百 块钱 吃 饱饱 很 不错 很 划算 实惠 一家 火锅店 值得 点赞 强 薄荷 环境 很 好 很 舒适 服务 铃 服务 很 热情,正面
服务态度 好 环境 舒适 干净 味生 免费 冰激凌 菜品 分量 足,正面
一如既往 美味 食材 新鲜 美味 色香味 俱全 服务态度 良好 店中 环境 很多 免费 冰激淋 提拱 祝 季季红 火锅 生意兴隆,正面
服务 好 味道 好 主动 加汤 价格 实惠 环境 干净,正面
美味 很 喜欢 价格合理 菜品 新鲜 服务 很 好,正面
服务 非常 好 说 两个 围裙 服务员 及时 过来 现在 天气 变热 还 提供 免费 冰淇淋 吃 非常 不错,正面
整体 来说 天虹 这家 服务态度 很 好 挺不错 都 很 热情 菜品 分量 很多 最 关键 新鲜 人 一种 吃 放心 感觉 很 不错 呦 吃火锅 还 得来 季季红 便宜 实惠,正面
经常 好 兄弟 季季红 吃 大概 一周 一次 特别 喜欢 喝 绿豆沙 口感 非常 沙 毛 肚丝 很脆,正面
服务态度 非常 好 上菜 非常 快 体验 非常 好 经常,正面
这家 家里 最近 吃 舒服 经常 上菜 速度 快 服务 好 呲 牙,正面
价格 真的 挺 实惠 黄兴 广场 地铁口 很近 周六 高峰期 店面 很大 不用 排队 调皮,正面
菜品 味道 很 好 服务 不错 环境 不错 总体 不错,正面
环境 很 好 很 炫酷 服务 很 好 菜品 很 新鲜 服务员 很 主动,正面
服务 季季红 味道 都 不错 服务员 很 热情 菜品 很 新鲜 上菜 很快 环境 很 不错 每次 吃 体验 感 很 好 经常 会 吃 推荐 推荐,正面
礼拜 人 特别 幸好 早 朋友 带上 小孩 出来 聚聚 菜品 挺 新鲜 服务 上菜 超快 我选 调料 台 旁边 特别 方便 想加 调料 立马 弄,正面
上菜 速度 快 环境 干净 整洁 服务员 耐心 下次 还会来,正面
非常 好 真心 推荐 服务 非常 周到 食材 很 新鲜,正面
服务 非常 好店 装修 非常 独特 非常 美味 非常 棒,正面
服务态度 不错 很 喜欢 下次 还 吃 服务员 很 主动 询问 需要,正面
服务周到 热情好客 卫生 干净 菜品 味道 好 「 季季红 火锅 鄱阳 城北 店,正面
下单 纸巾 服务员 一包 付钱 都 不行 不能 先给 一包 解决 一下 急 服务态度 差评,负面
服务员 态度 不错 价格 不贵 还 不错,正面
环境 不错 菜品 特色 免费 冰激凌 不错,正面
服务态度 好 菜品 环境 好 好 停车,正面
「 肥 羊肉 卷 很 美味 调皮 环境 真的 很 好 OK 服务 铃 服务 很 热情 调皮 小姐姐 很 热情 推荐 大家,正面
好久没 吃 季季红 味道 吃 完 才 想 起来 拍照 最近 看 电视剧 都 吃火锅 火锅 火锅 今天 特意 吃 最近 口里 没 味 正好 今天 刺激 下 味蕾 季季红 现在 免费 冰淇淋 吃 两种 口味 香草 草莓 很 普通 冰淇淋 很 解辣,正面
口味 正宗 环境 舒适 服务周到 价格 亲民,正面
美味 不 知道 几次 服务 特别 到位 美味 美味 美味 超级 美味,正面
美味 不 贵 经济 实惠 性价比 高 服务态度 很 好 满分,正面
特别 喜欢 这家 火锅店 服务态度 很 热情 过生日 生日 面 服务员 会 唱歌 调料 不 收费 一包 餐巾纸 送,正面
薄荷 环境 环境 干净 整洁 服务 铃 服务 服务态度 好 价格 实惠 物美价廉 上菜 速度 快 调料 种类 丰富 菜品 种类 新鲜,正面
分量 足 价格 实惠 服务态度 好 不到 两百 四个 人 吃 饱饱 点 荤菜 基础 上,正面
环境 挺 好 服务态度 很 好 菜品 很 美味,正面
三个 人点 两百块 钱 没 吃 完 感觉 应该 够 四个 人 吃 性价比 很 高 菜品 很 新鲜 牛蛙 端上来 肉 都 有点 跳动 筒 骨 汤底 真的 一整块 筒子 骨 吃 完 火锅 肉 炖 很烂 骨头汤 很 香 整个 美滋滋,正面
粉色 主题 季季红 懂 好 氛围 感 食材 很 新鲜,正面
天气 太热 吹 空调 吃火锅 简直 太爽了 季季红 肉 卷 美味 价格 不贵 乌鸡 卷 每次 必点 放在 三鲜 锅里煮 味道鲜美,正面
菜品 新鲜 服务态度 好 味道 非常 好 下次 继续 过来,正面
很 不错 家 人们 一试 环境 不错 服务 很 不错 性价比 很 高 口味 符合 环境 不错 比较 干净,正面
味道鲜美 薄荷 环境 还 不错 「 鲜美 肥羊 卷 新鲜 美味 会 回购 调皮,正面
环境 很 好 很 推荐 菜品 很 新鲜 小朋友 尤其 喜欢 里面 冰淇淋 味道 很棒,正面
这家 旭辉 广场 季季红 火锅 已经 很 多次 第一次 发现 这是 黄色 主题 进来 之后 种类 非常 推个 购物车 进行 采购 即可 爱 吃 全部 放入 购物车 就行了 每个 单品 价格 比较 便宜 味道 不错 口味 去 调料 台 进行 调味,正面
服务 铃 服务 服务态度 很 好 食物 分量 很足 环境优美,正面
体验 感 非常 不错 分泌 超多 多巴胺 超级 快乐 平台 太 方便 看到 搞 活动 买 今天 有空 才 想 起来 价格 还 划算 非常 nice 环境 很 考究 看 出来 精心设计 人 眼前一亮 最 喜欢 平台 总事能 挖掘 很多 新奇 店 棒棒 服务 确实 没得说 推荐 推荐 推荐,正面
味道 好 服务 不错 很 适合 学生 党来 吃,正面
这家 火锅店 服务 非常 周到 服务员 态度 非常 好 人 感觉 非常 舒适 会 及时 加汤 服务员 随叫随到 上菜 速度 之前 快 很多 应该 培训 菜品 上次 鲜鲜 很多 一家人 都 很 爱 吃 会 推荐 大家,正面
位置 比较 好找 坐电梯 四楼 装修 之后 风格 更好 看点 菜品 蛮 好 工作人员 比较 热情 个人 推荐 牛油 菌菇 锅 个人 喜欢 刚 坐 桌上 有人 送 一包 纸 过来 很 热情 桌上 扫码 点单 菜单 点餐 家 调料 免费 好像 免费 冰淇淋 值得 推荐,正面
季季红 都 很 亲民 菜品 比较 便宜 性价比 高 最 重要 冰激凌 无限 畅吃 猪肝 切 太 大块 煮 时间 短 没熟 煮 时间 长 太 老 希望 改进 一下 切薄点 鱼嘴 每次 必点 鲜嫩 味 季季红 油炸 特别 棒 强,正面
超 美味 江西人 火锅 价格 很 实惠 其实 火锅 味道 都 大 差不差 觉得 季季红 口味 最 喜欢 真的 是从 小时候 吃 「 鲜美 肥羊 卷 美味 必点 肥牛 美味 小郡 肝 美味 很 推荐 荤菜 来说 很 便宜 性价比 很 高 「 手工 虾 滑 每次 必点 好 美味 「 牛蛙 今天 没点 好 美味 季季红 牛蛙 好大 一只 两个 人点 一只 足够 非常 非常 推荐 素菜 「 贡菜 非常 非常 推荐 没吃过 赶紧 去 尝 好像 不是 所有 火锅店 都 卖 真的 好 美味 发誓 炸串 很 美味 推荐 里脊肉 小 酥 肉 每次 必点 服务 铃 服务 看到 评论 说 这家 店 服务 不好 没人加 汤 可能 季季红 不像 海底 捞 每桌 专人 服务 需要 加汤 服务员 没有 及时发现 需要 加汤 都 会 举手 ‍ ♂ ️ 示意 服务员 小 哥哥 小姐姐 都 很快 加汤 哒,正面
